date,AAPL,GOOG
2025-03-31,222.13,156.23
2025-04-01,223.19,158.88
2025-04-02,223.89,158.86
2025-04-03,203.19,152.63
2025-04-04,188.38,147.74
2025-04-07,181.46,149.24
2025-04-08,172.42,146.58
2025-04-09,198.85,161.06
2025-04-10,190.42,155.37
2025-04-11,198.15,159.4
2025-04-14,202.52,161.47
2025-04-15,202.14,158.68
2025-04-16,194.27,155.5
2025-04-17,196.98,153.36
2025-04-21,193.16,149.86
2025-04-22,199.74,153.9
2025-04-23,204.6,157.72
2025-04-24,208.37,161.47
2025-04-25,209.28,163.85
2025-04-28,210.14,162.42
2025-04-29,211.21,162.06
2025-04-30,212.5,160.89
2025-05-01,213.32,162.79
2025-05-02,205.35,165.81
2025-05-05,198.89,166.05
2025-05-06,198.51,165.2
2025-05-07,196.25,152.8
2025-05-08,197.49,155.75
2025-05-09,198.53,154.38
2025-05-12,210.79,159.58
2025-05-13,212.93,160.89
2025-05-14,212.33,166.81
2025-05-15,211.45,165.4
2025-05-16,211.26,167.43
2025-05-19,208.78,167.87
2025-05-20,206.86,165.32
2025-05-21,202.09,170.06
2025-05-22,201.36,171.98
